Indicateur,Nouveau_nom_indicateur,Thématique,Source,Groupe,Description
Linéaire cyclable sécurisé pour 1000 habitants (km/1000hab),Linéaire cyclable sécurisé pour 1000 habitants (km/1000hab),Transports,Tableau de bord des mobilités durables,0,
Linéaire cyclable sécurisé sur le territoire (km),Linéaire cyclable sécurisé sur le territoire (km),Transports,Tableau de bord des mobilités durables,0,
Émissions de N2O tout secteur confondu (TeqCO2/an),Émissions de N2O tout secteur confondu (TeqCO2/an),Transverse,OEB  / Terristory,0,
Émissions de N2O par le secteur de l'agriculture (TeqCO2/an),Émissions de N2O du secteur de l'agriculture (TeqCO2/an),Agriculture;Transverse,OEB  / Terristory,6,
Émissions de N2O par le secteur des déchets (TeqCO2/an),Émissions de N2O du secteur des déchets (TeqCO2/an),Économie Circulaire;Transverse,OEB  / Terristory,6,
Émissions de N2O par le secteur de l'industrie (TeqCO2/an),Émissions de N2O du secteur de l'industrie (TeqCO2/an),Industrie;Transverse,OEB  / Terristory,6,
Émissions de N2O par le secteur résidentiel (TeqCO2/an),Émissions de N2O du secteur résidentiel (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,6,
Émissions de N2O par le secteur tertiaire (TeqCO2/an),Émissions de N2O du secteur tertiaire (TeqCO2/an),Bâtiment;Transverse,OEB  / Terristory,6,
Émissions de N2O par le secteur des transports (TeqCO2/an),Émissions de N2O du secteur des transports (TeqCO2/an),Transports;Transverse,OEB  / Terristory,6,
Nombre de ménages en précarité énergétique mobilité (par niveau de vie),Nombre de ménages en précarité énergétique mobilité (par niveau de vie),Transports,ONPE,0,
Nombre de ménages en précarité énergétique logement (par niveau de vie),Nombre de ménages en précarité énergétique logement (par niveau de vie),Bâtiment,ONPE,0,
Part de la Production annuelle d’ENR du territoire hors hydroélectrique dans la production annuelle d’énergie (%),Part de la Production annuelle d’ENR du territoire hors hydroélectrique dans la production annuelle d’énergie (%),Énergie,OEB,0,
Part de production d'électricité renouvelable sur la production totale d'electricité (%),Part de production d'électricité renouvelable sur la production totale d'électricité (%),Énergie,OEB  / Terristory,0,
Part de production d'énergie renouvelable sur la production totale d'énergie (%),Part de production d'énergie renouvelable sur la production totale d'énergie (%),Énergie,OEB  / Terristory,0,
Part de production de chaleur renouvelable sur la production totale de chaleur (%),Part de production de chaleur renouvelable sur la production totale de chaleur (%),Énergie,OEB  / Terristory,0,
Part des ménages en précarité énergétique mobilité (par niveau de vie),Part des ménages en précarité énergétique mobilité (par niveau de vie),Transports,ONPE,0,
Part des ménages en précarité énergétique logement (par niveau de vie),Part des ménages en précarité énergétique logement (par niveau de vie),Bâtiment,ONPE,0,
Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),Part modale des modes actifs et transports en commun dans les déplacements domicile-travail (%),Transports,Tableau de bord des mobilités durables,0,
Part modale des déplacements domicile-travail effectués en modes actifs,Part modale des déplacements domicile-travail effectués en modes actifs,Transports,Tableau de bord des mobilités durables,0,
Part de la SAU du territoire en bio (%),Part de la SAU du territoire en bio (%),Agriculture,Ecologie data gouv,0,
Points de recharge pour véhicules électriques,Points de recharge pour véhicules électriques,Transports,Tableau de bord des mobilités durables,0,
Points de recharge pour véhicules électriques pour 1000 habitants,Points de recharge pour véhicules électriques pour 1000 habitants,Transports,Tableau de bord des mobilités durables,0,
Production annuelle d’électricité du territoire (MWh / an),Production annuelle d’électricité du territoire (MWh / an),Énergie,OEB,0,
Production annuelle d’ENR du territoire hors hydroélectrique (MWh / an),Production annuelle d’ENR du territoire hors hydroélectrique (MWh / an),Énergie,OEB,0,
Production d'électricité fossile (Mwh),Production d'électricité fossile (Mwh),Énergie,OEB  / Terristory,7,
Production d'électricité par éolien en mer (Mwh),Production d'électricité par éolien en mer (Mwh),Énergie,OEB  / Terristory,7,
Production d'électricité par éolien terrestre (Mwh),Production d'électricité par éolien terrestre (Mwh),Énergie,OEB  / Terristory,7,
Production d'électricité par incinérations de déchets (Mwh),Production d'électricité par incinérations de déchets (Mwh),Énergie,OEB  / Terristory,7,
Production d'électricité par méthanisation (Mwh),Production d'électricité par méthanisation (Mwh),Énergie,OEB  / Terristory,7,
Production d'électricité par panneaux solaires photovoltaïques (Mwh),Production d'électricité par panneaux solaires photovoltaïques (Mwh),Énergie,OEB  / Terristory,7,
Production d'électricité par panneaux solaires thermiques (Mwh),Production d'électricité par incinérations de déchets (Mwh),Énergie,OEB  / Terristory,7,
Production d’hydroélectricité (Mwh),Production d’électricité hydro (Mwh),Énergie,OEB  / Terristory,7,
Production de chaleur bois domestique et chaufferie (Mwh),Production de chaleur bois domestique et chaufferie (Mwh),Énergie,OEB  / Terristory,8,
Production de chaleur fossile (Mwh),Production de chaleur fossile (Mwh),Énergie,OEB  / Terristory,8,
Production de chaleur par incinérations de déchets (Mwh),Production de chaleur par incinérations de déchets (Mwh),Énergie,OEB  / Terristory,8,
Production de chaleur par les pompes à chaleur (aérothermie et géothermie) (Mwh),Production de chaleur par les pompes à chaleur (aérothermie et géothermie) (Mwh),Énergie,OEB  / Terristory,8,
Production de chaleur par méthanisation (Mwh),Production de chaleur par méthanisation (Mwh),Énergie,OEB  / Terristory,8,
