libelle_region,code_region,date,indicateur,valeur
Bretagne,53,01/01/2024,Puissance installée d'électricité par éolien terrestre (kw),396130.0
Bretagne,53,01/01/2000,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2001,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2002,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2003,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2004,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2005,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2006,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2007,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2008,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2009,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2010,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2011,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2012,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2013,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2014,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2015,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2016,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2017,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2018,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2019,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2020,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2021,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2022,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2023,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2024,Puissance installée d'électricité par éolien en mer (kw),0.0
Bretagne,53,01/01/2000,Production d'électricité par éolien terrestre (Mwh),7907.0
Bretagne,53,01/01/2001,Production d'électricité par éolien terrestre (Mwh),16872.0
