libelle_commune,code_commune,date,indicateur,valeur
Baguer-Morvan,35009,01/01/2025,Points de recharge pour véhicules électriques,0.0
Baguer-Pican,35010,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baguer-Pican,35010,01/01/2023,Points de recharge pour véhicules électriques,0.0
Baguer-Pican,35010,01/01/2024,Points de recharge pour véhicules électriques,0.0
Baguer-Pican,35010,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bain-de-Bretagne,35012,01/01/2022,Points de recharge pour véhicules électriques,4.0
Bain-de-Bretagne,35012,01/01/2023,Points de recharge pour véhicules électriques,8.0
Bain-de-Bretagne,35012,01/01/2024,Points de recharge pour véhicules électriques,17.0
Bain-de-Bretagne,35012,01/01/2025,Points de recharge pour véhicules électriques,26.0
Bains-sur-Oust,35013,01/01/2022,Points de recharge pour véhicules électriques,2.0
Bains-sur-Oust,35013,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bains-sur-Oust,35013,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bains-sur-Oust,35013,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bais,35014,01/01/2022,Points de recharge pour véhicules électriques,2.0
Bais,35014,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bais,35014,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bais,35014,01/01/2025,Points de recharge pour véhicules électriques,2.0
Balazé,35015,01/01/2022,Points de recharge pour véhicules électriques,0.0
Balazé,35015,01/01/2023,Points de recharge pour véhicules électriques,0.0
Balazé,35015,01/01/2024,Points de recharge pour véhicules électriques,0.0
Balazé,35015,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bangor,56009,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bangor,56009,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bangor,56009,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bangor,56009,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bannalec,29004,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bannalec,29004,01/01/2023,Points de recharge pour véhicules électriques,4.0
Bannalec,29004,01/01/2024,Points de recharge pour véhicules électriques,7.0
Bannalec,29004,01/01/2025,Points de recharge pour véhicules électriques,10.0
Baud,56010,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baud,56010,01/01/2023,Points de recharge pour véhicules électriques,8.0
Baud,56010,01/01/2024,Points de recharge pour véhicules électriques,16.0
Baud,56010,01/01/2025,Points de recharge pour véhicules électriques,13.0
Baulon,35016,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baulon,35016,01/01/2023,Points de recharge pour véhicules électriques,0.0
Baulon,35016,01/01/2024,Points de recharge pour véhicules électriques,0.0
Baulon,35016,01/01/2025,Points de recharge pour véhicules électriques,0.0
Baye,29005,01/01/2022,Points de recharge pour véhicules électriques,0.0
Baye,29005,01/01/2023,Points de recharge pour véhicules électriques,2.0
Baye,29005,01/01/2024,Points de recharge pour véhicules électriques,2.0
Baye,29005,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bazouges-la-Pérouse,35019,01/01/2022,Points de recharge pour véhicules électriques,2.0
Bazouges-la-Pérouse,35019,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bazouges-la-Pérouse,35019,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bazouges-la-Pérouse,35019,01/01/2025,Points de recharge pour véhicules électriques,2.0
Beaucé,35021,01/01/2022,Points de recharge pour véhicules électriques,0.0
Beaucé,35021,01/01/2023,Points de recharge pour véhicules électriques,0.0
Beaucé,35021,01/01/2024,Points de recharge pour véhicules électriques,2.0
Beaucé,35021,01/01/2025,Points de recharge pour véhicules électriques,0.0
Beaussais-sur-Mer,22209,01/01/2022,Points de recharge pour véhicules électriques,0.0
Beaussais-sur-Mer,22209,01/01/2023,Points de recharge pour véhicules électriques,2.0
Beaussais-sur-Mer,22209,01/01/2024,Points de recharge pour véhicules électriques,2.0
Beaussais-sur-Mer,22209,01/01/2025,Points de recharge pour véhicules électriques,2.0
Beignon,56012,01/01/2022,Points de recharge pour véhicules électriques,0.0
Beignon,56012,01/01/2023,Points de recharge pour véhicules électriques,0.0
Beignon,56012,01/01/2024,Points de recharge pour véhicules électriques,0.0
Beignon,56012,01/01/2025,Points de recharge pour véhicules électriques,0.0
Belle-Isle-en-Terre,22005,01/01/2022,Points de recharge pour véhicules électriques,0.0
Belle-Isle-en-Terre,22005,01/01/2023,Points de recharge pour véhicules électriques,2.0
Belle-Isle-en-Terre,22005,01/01/2024,Points de recharge pour véhicules électriques,2.0
Belle-Isle-en-Terre,22005,01/01/2025,Points de recharge pour véhicules électriques,2.0
Belz,56013,01/01/2022,Points de recharge pour véhicules électriques,0.0
Belz,56013,01/01/2023,Points de recharge pour véhicules électriques,7.0
Belz,56013,01/01/2024,Points de recharge pour véhicules électriques,9.0
Belz,56013,01/01/2025,Points de recharge pour véhicules électriques,9.0
Berhet,22006,01/01/2022,Points de recharge pour véhicules électriques,0.0
Berhet,22006,01/01/2023,Points de recharge pour véhicules électriques,0.0
Berhet,22006,01/01/2024,Points de recharge pour véhicules électriques,0.0
Berhet,22006,01/01/2025,Points de recharge pour véhicules électriques,0.0
Berné,56014,01/01/2022,Points de recharge pour véhicules électriques,0.0
Berné,56014,01/01/2023,Points de recharge pour véhicules électriques,4.0
Berné,56014,01/01/2024,Points de recharge pour véhicules électriques,4.0
Berné,56014,01/01/2025,Points de recharge pour véhicules électriques,4.0
Berric,56015,01/01/2022,Points de recharge pour véhicules électriques,0.0
Berric,56015,01/01/2023,Points de recharge pour véhicules électriques,0.0
Berric,56015,01/01/2024,Points de recharge pour véhicules électriques,0.0
Berric,56015,01/01/2025,Points de recharge pour véhicules électriques,0.0
Berrien,29007,01/01/2022,Points de recharge pour véhicules électriques,0.0
Berrien,29007,01/01/2023,Points de recharge pour véhicules électriques,0.0
Berrien,29007,01/01/2024,Points de recharge pour véhicules électriques,0.0
Berrien,29007,01/01/2025,Points de recharge pour véhicules électriques,0.0
Betton,35024,01/01/2022,Points de recharge pour véhicules électriques,2.0
Betton,35024,01/01/2023,Points de recharge pour véhicules électriques,2.0
Betton,35024,01/01/2024,Points de recharge pour véhicules électriques,1.0
Betton,35024,01/01/2025,Points de recharge pour véhicules électriques,3.0
Beuzec-Cap-Sizun,29008,01/01/2022,Points de recharge pour véhicules électriques,0.0
Beuzec-Cap-Sizun,29008,01/01/2023,Points de recharge pour véhicules électriques,2.0
Beuzec-Cap-Sizun,29008,01/01/2024,Points de recharge pour véhicules électriques,2.0
Beuzec-Cap-Sizun,29008,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bignan,56017,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bignan,56017,01/01/2023,Points de recharge pour véhicules électriques,4.0
Bignan,56017,01/01/2024,Points de recharge pour véhicules électriques,4.0
Bignan,56017,01/01/2025,Points de recharge pour véhicules électriques,4.0
Billiers,56018,01/01/2022,Points de recharge pour véhicules électriques,0.0
Billiers,56018,01/01/2023,Points de recharge pour véhicules électriques,0.0
Billiers,56018,01/01/2024,Points de recharge pour véhicules électriques,0.0
Billiers,56018,01/01/2025,Points de recharge pour véhicules électriques,0.0
Billio,56019,01/01/2022,Points de recharge pour véhicules électriques,0.0
Billio,56019,01/01/2023,Points de recharge pour véhicules électriques,0.0
Billio,56019,01/01/2024,Points de recharge pour véhicules électriques,0.0
Billio,56019,01/01/2025,Points de recharge pour véhicules électriques,0.0
Billé,35025,01/01/2022,Points de recharge pour véhicules électriques,0.0
Billé,35025,01/01/2023,Points de recharge pour véhicules électriques,0.0
Billé,35025,01/01/2024,Points de recharge pour véhicules électriques,0.0
Billé,35025,01/01/2025,Points de recharge pour véhicules électriques,0.0
Binic-Étables-sur-Mer,22055,01/01/2022,Points de recharge pour véhicules électriques,0.0
Binic-Étables-sur-Mer,22055,01/01/2023,Points de recharge pour véhicules électriques,6.0
Binic-Étables-sur-Mer,22055,01/01/2024,Points de recharge pour véhicules électriques,18.0
Binic-Étables-sur-Mer,22055,01/01/2025,Points de recharge pour véhicules électriques,16.0
Bléruais,35026,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bléruais,35026,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bléruais,35026,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bléruais,35026,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bobital,22008,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bobital,22008,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bobital,22008,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bobital,22008,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bodilis,29010,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bodilis,29010,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bodilis,29010,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bodilis,29010,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bohal,56020,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bohal,56020,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bohal,56020,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bohal,56020,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bohars,29011,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bohars,29011,01/01/2023,Points de recharge pour véhicules électriques,4.0
Bohars,29011,01/01/2024,Points de recharge pour véhicules électriques,2.0
Bohars,29011,01/01/2025,Points de recharge pour véhicules électriques,2.0
Boisgervilly,35027,01/01/2022,Points de recharge pour véhicules électriques,0.0
Boisgervilly,35027,01/01/2023,Points de recharge pour véhicules électriques,0.0
Boisgervilly,35027,01/01/2024,Points de recharge pour véhicules électriques,0.0
Boisgervilly,35027,01/01/2025,Points de recharge pour véhicules électriques,0.0
Boistrudan,35028,01/01/2022,Points de recharge pour véhicules électriques,0.0
Boistrudan,35028,01/01/2023,Points de recharge pour véhicules électriques,0.0
Boistrudan,35028,01/01/2024,Points de recharge pour véhicules électriques,0.0
Boistrudan,35028,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bolazec,29012,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bolazec,29012,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bolazec,29012,01/01/2024,Points de recharge pour véhicules électriques,0.0
Bolazec,29012,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bon Repos sur Blavet,22107,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bon Repos sur Blavet,22107,01/01/2023,Points de recharge pour véhicules électriques,2.0
Bon Repos sur Blavet,22107,01/01/2024,Points de recharge pour véhicules électriques,2.0
Bon Repos sur Blavet,22107,01/01/2025,Points de recharge pour véhicules électriques,2.0
Bonnemain,35029,01/01/2022,Points de recharge pour véhicules électriques,0.0
Bonnemain,35029,01/01/2023,Points de recharge pour véhicules électriques,0.0
Bonnemain,35029,01/01/2024,Points de recharge pour véhicules électriques,6.0
Bonnemain,35029,01/01/2025,Points de recharge pour véhicules électriques,6.0
Boqueho,22011,01/01/2022,Points de recharge pour véhicules électriques,0.0
Boqueho,22011,01/01/2023,Points de recharge pour véhicules électriques,0.0
Boqueho,22011,01/01/2024,Points de recharge pour véhicules électriques,0.0
Boqueho,22011,01/01/2025,Points de recharge pour véhicules électriques,0.0
Botmeur,29013,01/01/2022,Points de recharge pour véhicules électriques,0.0
Botmeur,29013,01/01/2023,Points de recharge pour véhicules électriques,0.0
Botmeur,29013,01/01/2024,Points de recharge pour véhicules électriques,0.0
Botmeur,29013,01/01/2025,Points de recharge pour véhicules électriques,0.0
Botsorhel,29014,01/01/2022,Points de recharge pour véhicules électriques,0.0
Botsorhel,29014,01/01/2023,Points de recharge pour véhicules électriques,0.0
Botsorhel,29014,01/01/2024,Points de recharge pour véhicules électriques,0.0
Botsorhel,29014,01/01/2025,Points de recharge pour véhicules électriques,0.0
Bourbriac,22013,01/01/2022,Points de recharge pour véhicules électriques,0.0
